attendance,day_night,temp,wind_speed,duration,away_errors,away_hits,home_errors,home_hits,total_runs,home_win
40638,1,42,21,3.083,0,9,1,6,5,0
40616,0,83,7,3.167,1,8,0,9,9,1
40610,0,70,4,2.6,2,7,0,10,7,1
40597,0,87,9,3.917,0,10,0,11,7,1
40586,0,73,5,2.967,0,7,1,11,7,1
40573,1,65,3,2.667,0,7,0,8,3,1
40563,1,85,5,3.9,3,10,0,17,12,1
40550,0,74,9,4.083,2,14,0,10,13,1
40525,0,67,9,3.283,0,9,1,5,7,1
40471,1,51,23,3.533,0,6,1,11,13,1
40446,1,74,11,3.017,0,7,0,6,3,1
40438,0,56,8,3.017,1,8,0,14,13,1
40434,0,69,3,3.2,1,6,1,15,11,1
40431,0,70,4,2.883,1,8,1,10,9,1
40419,0,81,1,2.8,0,9,1,9,5,1
40416,0,75,2,3.25,2,17,1,11,17,0
40415,1,68,9,2.767,1,4,0,7,8,1
40354,0,74,1,2.867,1,3,1,14,10,1
40344,0,82,9,2.633,0,9,1,3,5,0
40331,0,78,11,2.783,0,10,1,7,8,0
40330,0,94,13,3.233,1,7,0,10,11,1
40310,0,81,3,2.833,0,4,0,8,7,1
40309,1,83,6,2.65,0,6,0,8,2,1
40256,0,82,6,2.917,0,15,1,6,7,0
40232,1,85,6,3.467,0,9,1,12,11,1
40221,0,81,3,2.433,0,5,0,6,4,1
40221,0,62,8,3.65,1,4,0,5,5,1
40214,1,85,7,2.983,1,10,1,3,6,0
40184,1,86,5,2.533,0,4,0,9,6,1
40173,1,66,7,2.983,0,8,1,6,4,1
40168,1,67,7,2.483,0,1,0,11,7,1
40164,1,44,14,3.067,1,5,1,6,7,0
40148,0,74,9,3.217,0,11,1,6,6,0
40142,0,68,10,3.1,1,8,2,7,6,0
40137,0,91,1,2.917,1,7,2,13,12,1
40137,0,65,11,3.133,0,5,0,9,4,0
40135,0,72,0,2.75,0,7,1,4,6,0
40134,0,95,5,3.3,0,10,1,10,11,1
40124,0,73,5,2.85,0,7,0,8,8,1
